kategori,rincian_masalah,status,tanggal_masuk,tanggal_selesai,id_laporan,skpd,response_time
SAMPAH,TIDAK DISEBUTKAN,COMPLETE,2020-12-13,2020-12-14,QL001403166,KELURAHAN SUMUR BATU,1
SAMPAH,TIDAK DISEBUTKAN,COMPLETE,2020-12-13,2020-12-13,QL001403154,KELURAHAN CEMPAKA PUTIH BARAT,0
SAMPAH,TIDAK DISEBUTKAN,COMPLETE,2020-12-13,2020-12-13,QL001403155,KELURAHAN CEMPAKA PUTIH BARAT,0
POHON,TIDAK DISEBUTKAN,COMPLETE,2020-12-13,2020-12-13,JK2012130066,KELURAHAN BENDUNGAN HILIR,0
PEKERJA PENANGANAN PRASARANA DAN SARANA UMUM KELURAHAN,TIDAK DISEBUTKAN,COMPLETE,2020-12-13,2020-12-13,JK2012130056,KELURAHAN KRAMAT,0
TAMAN,TIDAK DISEBUTKAN,COMPLETE,2020-12-13,2020-12-13,QL001403141,KELURAHAN PEGANGSAAN,0
PEKERJA PENANGANAN PRASARANA DAN SARANA UMUM KELURAHAN,TIDAK DISEBUTKAN,COMPLETE,2020-12-13,2020-12-13,JK2012130040,KELURAHAN CEMPAKA PUTIH BARAT,0
SAMPAH,TIDAK DISEBUTKAN,COMPLETE,2020-12-13,2020-12-13,QL001403111,KELURAHAN KEBON SIRIH,0
SAMPAH,TIDAK DISEBUTKAN,COMPLETE,2020-12-13,2020-12-13,QL001403109,KELURAHAN KEBON SIRIH,0
POHON,TIDAK DISEBUTKAN,COMPLETE,2020-12-12,2020-12-13,JK2012120159,KELURAHAN CIKINI,1
POHON,TIDAK DISEBUTKAN,COMPLETE,2020-12-12,2020-12-13,JK2012120154,KELURAHAN CIKINI,1
SAMPAH,TIDAK DISEBUTKAN,COMPLETE,2020-12-12,2020-12-13,QL001403072,KELURAHAN KRAMAT,1
SAMPAH,TIDAK DISEBUTKAN,COMPLETE,2020-12-12,2020-12-12,QL001403039,KELURAHAN KARTINI,0
PEKERJA PENANGANAN PRASARANA DAN SARANA UMUM KELURAHAN,TIDAK DISEBUTKAN,COMPLETE,2020-12-12,2020-12-12,JK2012120061,KELURAHAN HARAPAN MULYA,0
SAMPAH,TIDAK DISEBUTKAN,COMPLETE,2020-12-12,2020-12-12,QL001403033,KELURAHAN MANGGA DUA SELATAN,0
JEMBATAN,TIDAK DISEBUTKAN,COMPLETE,2020-12-12,2020-12-14,QL001403021,KELURAHAN GAMBIR,2
GANGGUAN KETENTERAMAN DAN KETERTIBAN,TIDAK DISEBUTKAN,COMPLETE,2020-12-11,2020-12-11,QL001402964,KELURAHAN GAMBIR,0
SAMPAH,TIDAK DISEBUTKAN,COMPLETE,2020-12-11,2020-12-11,QL001402963,KELURAHAN PETAMBURAN,0
JALAN,TIDAK DISEBUTKAN,COMPLETE,2020-10-31,2020-10-31,JK2010310126,KELURAHAN PASAR BARU,0
PENANGANAN BANJIR,TIDAK DISEBUTKAN,COMPLETE,2020-10-31,2020-10-31,QL001397357,KELURAHAN GUNUNG SAHARI UTARA,0
SAMPAH,TIDAK DISEBUTKAN,COMPLETE,2020-10-31,2020-10-31,JK2010310067,KELURAHAN BUNGUR,0
SAMPAH,TIDAK DISEBUTKAN,COMPLETE,2020-10-31,2020-10-31,QL001397304,KELURAHAN JOHAR BARU,0
SAMPAH,TIDAK DISEBUTKAN,COMPLETE,2020-10-30,2020-10-30,QL001397188,KELURAHAN GAMBIR,0
JEMBATAN,TIDAK DISEBUTKAN,COMPLETE,2020-10-30,2020-10-30,QL001397184,KELURAHAN GAMBIR,0
TAMAN,TIDAK DISEBUTKAN,COMPLETE,2020-10-30,2020-10-30,QL001397167,KELURAHAN SUMUR BATU,0
SAMPAH,TIDAK DISEBUTKAN,COMPLETE,2020-10-30,2020-10-30,QL001397166,KELURAHAN SUMUR BATU,0
SAMPAH,TIDAK DISEBUTKAN,COMPLETE,2020-10-29,2020-10-29,QL001397013,KELURAHAN GAMBIR,0
JEMBATAN,TIDAK DISEBUTKAN,COMPLETE,2020-10-29,2020-10-29,QL001397012,KELURAHAN GAMBIR,0
SAMPAH,TIDAK DISEBUTKAN,COMPLETE,2020-10-29,2020-10-29,QL001396996,KELURAHAN CEMPAKA PUTIH TIMUR,0
JARINGAN LISTRIK,TIDAK DISEBUTKAN,COMPLETE,2020-10-29,2020-10-29,JK2010280173,KOTA ADMINISTRASI JAKARTA PUSAT,0
SAMPAH,TIDAK DISEBUTKAN,COMPLETE,2020-10-28,2020-10-28,JK2010280119,KELURAHAN KEBON KOSONG,0
SAMPAH,TIDAK DISEBUTKAN,COMPLETE,2020-10-28,2020-10-28,QL001396925,KELURAHAN RAWASARI,0
PEKERJA PENANGANAN PRASARANA DAN SARANA UMUM KELURAHAN,TIDAK DISEBUTKAN,COMPLETE,2020-10-28,2020-10-28,JK2010280072,KELURAHAN KWITANG,0
JEMBATAN,TIDAK DISEBUTKAN,COMPLETE,2020-10-28,2020-10-28,QL001396805,KELURAHAN KARET TENGSIN,0
JEMBATAN,TIDAK DISEBUTKAN,COMPLETE,2020-10-28,2020-10-28,QL001396800,KELURAHAN BENDUNGAN HILIR,0
BANTUAN SOSIAL,TIDAK DISEBUTKAN,COMPLETE,2020-10-28,2020-10-28,JK2010280088,KELURAHAN PEGANGSAAN,0
BANTUAN SOSIAL,TIDAK DISEBUTKAN,COMPLETE,2020-10-28,2020-10-28,JK2010280086,KELURAHAN PEGANGSAAN,0
PENANGANAN BANJIR,TIDAK DISEBUTKAN,COMPLETE,2020-10-28,2020-10-28,QL001396860,KELURAHAN PETAMBURAN,0
